time,min_age,max_age,color,abbr
Meghalayan,0,0.0042,#FEF2E0,Meg
Northgrippian,0.0042,0.0082,#FEF2E0,Nor
Greenlandian,0.0082,0.0117,#FEF2E0,Gre
Late Pleistocene (Tarantian),0.0117,0.126,#FFF2C7,Lat
Middle Pleistocene,0.126,0.781,#FFF2C7,Mid
Calabrian,0.781,1.806,#FFF2C7,Cal
Gelasian,1.806,2.588,#FFEDB3,Gel
Piacenzian,2.588,3.6,#FFFFBF,Pia
Zanclean,3.6,5.333,#FFFFB3,Zan
Messinian,5.333,7.246,#FFFF73,Mes
Tortonian,7.246,11.62,#FFFF66,Tor
Serravallian,11.62,13.82,#FFFF59,Ser
Langhian,13.82,15.97,#FFFF4D,Lan
Burdigalian,15.97,20.44,#FFFF41,Bur
Aquitanian,20.44,23.03,#FFFF33,Aqu
Chattian,23.03,28.1,#FEE6AA,Cha
Rupelian,28.1,33.9,#FED99A,Rup
Priabonian,33.9,37.8,#FDCDA1,Pri
Bartonian,37.8,41.3,#FDC091,Bar
Lutetian,41.3,47.8,#FCB482,Lut
Ypresian,47.8,56,#FCA773,Ypr
Thanetian,56,59.2,#FDBF6F,Tha
Selandian,59.2,61.6,#FEBF65,Sel
Danian,61.6,66,#FDB462,Dan
Maastrichtian,66,72.1,#F2FA8C,Maa
Campanian,72.1,83.6,#E6F47F,Cam
Santonian,83.6,86.3,#D9EF74,San
Coniacian,86.3,89.8,#CCE968,Con
Turonian,89.8,93.9,#BFE35D,Tur
Cenomanian,93.9,100.5,#B3DE53,Cen
Albian,100.5,113,#CCEA97,Alb
Aptian,113,125,#BFE48A,Apt
Barremian,125,129.4,#B3DF7F,Bar
Hauterivian,129.4,132.9,#A6D975,Hau
Valanginian,132.9,139.8,#99D36A,Val
Berriasian,139.8,145,#8CCD60,Ber
Tithonian,145,152.1,#D9F1F7,Tit
Kimmeridgian,152.1,157.3,#CCECF4,Kim
Oxfordian,157.3,163.5,#BFE7F1,Oxf
Callovian,163.5,166.1,#BFE7E5,Cal
Bathonian,166.1,168.3,#B3E2E3,Bat
Bajocian,168.3,170.3,#A6DDE0,Baj
Aalenian,170.3,174.1,#9AD9DD,Aal
Toarcian,174.1,182.7,#99CEE3,Toa
Pliensbachian,182.7,190.8,#80C5DD,Pli
Sinemurian,190.8,199.3,#67BCD8,Sin
Hettangian,199.3,201.3,#4EB3D3,Het
Rhaetian,201.3,208.5,#E3B9DB,Rha
Norian,208.5,227,#D6AAD3,Nor
Carnian,227,237,#C99BCB,Car
Ladinian,237,242,#C983BF,Lad
Anisian,242,247.2,#BC75B7,Ani
Olenekian,247.2,251.2,#B051A5,Ole
Induan,251.2,251.902,#A4469F,Ind
Changhsingian,251.902,254.14,#FCC0B2,Cha
Wuchiapingian,254.14,259.1,#FCB4A2,Wuc
Capitanian,259.1,265.1,#FB9A85,Cap
Wordian,265.1,268.8,#FB8D76,Wor
Roadian,268.8,272.95,#FB8069,Roa
Kungurian,272.95,283.5,#E38776,Kun
Artinskian,283.5,290.1,#E37B68,Art
Sakmarian,290.1,295,#E36F5C,Sak
Asselian,295,298.9,#E36350,Ass
Gzhelian,298.9,303.7,#CCD4C7,Gzh
Kasimovian,303.7,307,#BFD0C5,Kas
Moscovian,307,315.2,#C7CBB9,Mos
Bashkirian,315.2,323.2,#99C2B5,Bas
Serpukhovian,323.2,330.9,#BFC26B,Ser
Visean,330.9,346.7,#A6B96C,Vis
Tournaisian,346.7,358.9,#8CB06C,Tou
Famennian,358.9,372.2,#F2EDC5,Fam
Frasnian,372.2,382.7,#F2EDAD,Fra
Givetian,382.7,387.7,#F1E185,Giv
Eifelian,387.7,393.3,#F1D576,Eif
Emsian,393.3,407.6,#E5D075,Ems
Pragian,407.6,410.8,#E5C468,Pra
Lochkovian,410.8,419.2,#E5B75A,Loc
Pridoli,419.2,423,#E6F5E1,Pri
Ludfordian,423,425.6,#D9F0DF,Lud
Gorstian,425.6,427.4,#CCECDD,Gor
Homerian,427.4,430.5,#CCEBD1,Hom
Sheinwoodian,430.5,433.4,#BFE6C3,She
Telychian,433.4,438.5,#BFE6CF,Tel
Aeronian,438.5,440.8,#B3E1C2,Aer
