int_id,name,abbrev,t_age,b_age,int_type,color
11,Piacenzian,NA,2.588,3.6,age,#FFFFBF
12,Zanclean,NA,3.6,5.333,age,#FFFFB3
14,Messinian,NA,5.333,7.246,age,#FFFF73
15,Tortonian,NA,7.246,11.62,age,#FFFF66
16,Serravallian,NA,11.62,13.82,age,#FFFF59
17,Langhian,NA,13.82,15.97,age,#FFFF4D
18,Burdigalian,NA,15.97,20.44,age,#FFFF41
19,Aquitanian,NA,20.44,23.03,age,#FFFF33
22,Chattian,NA,23.03,28.1,age,#FEE6AA
23,Rupelian,NA,28.1,33.9,age,#FED99A
25,Priabonian,NA,33.9,37.8,age,#FDCDA1
26,Bartonian,NA,37.8,41.3,age,#FDC091
27,Lutetian,NA,41.3,47.8,age,#FCB482
28,Ypresian,NA,47.8,56,age,#FCA773
30,Thanetian,NA,56,59.2,age,#FDBF6F
31,Danian,NA,61.6,66,age,#FDB462
35,Maastrichtian,NA,66,72.1,age,#F2FA8C
36,Campanian,NA,72.1,83.6,age,#E6F47F
37,Santonian,NA,83.6,86.3,age,#D9EF74
38,Coniacian,NA,86.3,89.8,age,#CCE968
39,Turonian,NA,89.8,93.9,age,#BFE35D
40,Cenomanian,NA,93.9,100.5,age,#B3DE53
42,Albian,NA,100.5,113,age,#CCEA97
43,Aptian,NA,113,125,age,#BFE48A
44,Barremian,NA,125,129.4,age,#B3DF7F
45,Hauterivian,NA,129.4,132.9,age,#A6D975
46,Valanginian,NA,132.9,139.8,age,#99D36A
47,Berriasian,NA,139.8,145,age,#8CCD60
50,Tithonian,NA,145,152.1,age,#D9F1F7
51,Kimmeridgian,NA,152.1,157.3,age,#CCECF4
52,Oxfordian,NA,157.3,163.5,age,#BFE7F1
54,Callovian,NA,163.5,166.1,age,#BFE7E5
55,Bathonian,NA,166.1,168.3,age,#B3E2E3
56,Bajocian,NA,168.3,170.3,age,#A6DDE0
57,Aalenian,NA,170.3,174.1,age,#9AD9DD
59,Toarcian,NA,174.1,182.7,age,#99CEE3
60,Pliensbachian,NA,182.7,190.8,age,#80C5DD
61,Sinemurian,NA,190.8,199.3,age,#67BCD8
62,Hettangian,NA,199.3,201.3,age,#4EB3D3
65,Rhaetian,NA,201.3,208.5,age,#E3B9DB
66,Norian,NA,208.5,227,age,#D6AAD3
